population,Data Zone
814,S01000978
714,S01000979
679,S01000980
708,S01000981
671,S01000982
525,S01000983
672,S01000984
748,S01000985
583,S01000986
568,S01000987
574,S01000988
820,S01000989
951,S01000990
456,S01000991
"1,084",S01000992
809,S01000993
"1,078",S01000994
776,S01000995
"1,098",S01000996
873,S01000997
640,S01000998
637,S01000999
627,S01001000
539,S01001001
622,S01001002
808,S01001003
708,S01001004
872,S01001005
718,S01001006
882,S01001007
683,S01001008
588,S01001009
918,S01001010
595,S01001011
741,S01001012
873,S01001013
846,S01001014
616,S01001015
931,S01001016
815,S01001017
744,S01001018
999,S01001019
539,S01001020
949,S01001021
809,S01001022
969,S01001023
"1,973",S01001024
"1,632",S01001025
885,S01001026
884,S01001027
780,S01001028
720,S01001029
667,S01001030
932,S01001031
688,S01001032
687,S01001033
839,S01001034
526,S01001035
606,S01001036
868,S01001037
945,S01001038
555,S01001039
726,S01001040
798,S01001041
817,S01001042
639,S01001043
910,S01001044
641,S01001045
861,S01001046
846,S01001047
568,S01001048
632,S01001049
925,S01001050
632,S01001051
535,S01001052
779,S01001053
856,S01001054
814,S01001055
700,S01001056
680,S01001057
725,S01001058
618,S01001059
702,S01001060
746,S01001061
568,S01001062
"1,074",S01001063
687,S01001064
737,S01001065
720,S01001066
755,S01001067
861,S01001068
833,S01001069
856,S01001070
694,S01001071
866,S01001072
"1,157",S01001073
511,S01001074
924,S01001075
827,S01001076
872,S01001077
905,S01001078
546,S01001079
733,S01001080
617,S01001081
863,S01001082
731,S01001083
"1,004",S01001084
830,S01001085
691,S01001086
470,S01001087
"1,018",S01001088
948,S01001089
899,S01001090
608,S01001091
"1,052",S01001092
905,S01001093
873,S01001094
"1,284",S01001095
"1,011",S01001096
666,S01001097
936,S01001098
"1,479",S01001099
"1,030",S01001100
"1,229",S01001101
604,S01001102
722,S01001103
792,S01001104
762,S01001105
"1,170",S01001106
"1,013",S01001107
"1,800",S01001108
"2,455",S01001109
842,S01001110
"1,075",S01001111
841,S01001112
972,S01001113
917,S01001114
733,S01001115
473,S01001116
579,S01001117
515,S01001118
"1,000",S01001119
668,S01001120
687,S01001121
746,S01001122
"1,001",S01001123
628,S01001124
371,S01001125
836,S01001126
835,S01001127
630,S01001128
941,S01001129
740,S01001130
482,S01001131
713,S01001132
"1,142",S01001133
893,S01001134
333,S01001135
"1,187",S01001136
964,S01001137
"1,516",S01001138
762,S01001139
973,S01001140
493,S01001141
903,S01001142
843,S01001143
632,S01001144
578,S01001145
795,S01001146
731,S01001147
722,S01001148
643,S01001149
761,S01001150
587,S01001151
946,S01001152
713,S01001153
738,S01001154
609,S01001155
766,S01001156
732,S01001157
615,S01001158
764,S01001159
543,S01001160
602,S01001161
861,S01001162
585,S01001163
642,S01001164
822,S01001165
318,S01001166
820,S01001167
785,S01001168
"1,137",S01001169
850,S01001170
591,S01001171
630,S01001172
942,S01001173
660,S01001174
908,S01001175
817,S01001176
973,S01001177
778,S01001178
873,S01001179
687,S01001180
855,S01001181
947,S01001182
874,S01001183
909,S01001184
565,S01001185
708,S01001186
881,S01001187
799,S01001188
968,S01001189
741,S01001190
716,S01001191
944,S01001192
834,S01001193
918,S01001194
941,S01001195
960,S01001196
556,S01001197
756,S01001198
891,S01001199
"1,087",S01001200
668,S01001201
616,S01001202
767,S01001203
735,S01001204
743,S01001205
708,S01001206
810,S01001207
592,S01001208
590,S01001209
833,S01001210
"1,009",S01001211
